ID,Grupo,Estado_Participacion,Nota_Practica,Nota_Intervenciones,Nota_Exposicion,Asistencia,Eval_Continua,Examen_Parcial,Nota_Final,Peer_Influence,Teacher_Encouragement
1,Seccion A,Casi_siempre,16.0,16.8,15.9,92.0,16.2,14.9,15.6,4,8.2
2,Seccion A,A_veces,13.0,12.5,11.6,78.0,12.9,11.5,12.2,3,5.7
3,Seccion B,Rara_vez,8.9,7.2,9.1,62.0,9.4,8.5,8.9,2,4.1
4,Seccion B,Nunca,5.8,4.0,4.5,48.0,7.7,5.5,6.6,1,2.2
5,Seccion A,Casi_siempre,17.5,18.2,16.8,96.0,17.9,16.5,17.2,4,8.8
6,Seccion C,A_veces,11.2,10.8,12.1,74.0,12.2,11.2,11.7,3,5.3
7,Seccion B,Casi_siempre,16.2,15.8,14.5,88.0,16.4,15.8,16.1,4,7.9
8,Seccion C,Rara_vez,8.0,6.5,7.8,58.0,9.7,8.2,8.9,2,3.8
9,Seccion A,A_veces,13.5,12.0,12.8,82.0,14.1,13.2,13.6,3,6.3
10,Seccion C,Nunca,5.2,3.2,4.2,44.0,7.4,5.2,6.3,1,2.0
11,Seccion B,Casi_siempre,15.2,17.0,15.2,93.0,16.1,15.2,15.6,4,8.5
12,Seccion A,Rara_vez,9.2,7.5,8.8,64.0,10.1,9.2,9.6,2,4.2
13,Seccion C,A_veces,12.5,11.5,11.8,76.0,12.8,11.8,12.3,3,5.8
14,Seccion B,Nunca,6.2,4.5,4.8,52.0,7.9,5.8,6.8,1,2.5
15,Seccion A,Casi_siempre,18.0,19.0,17.5,98.0,18.2,17.5,17.8,4,9.2
16,Seccion B,A_veces,11.8,11.2,11.0,72.0,12.0,11.0,11.5,3,5.5
17,Seccion C,Casi_siempre,16.8,16.0,15.5,90.0,17.1,16.2,16.6,4,8.0
18,Seccion A,Rara_vez,8.5,7.0,8.2,60.0,9.9,8.8,9.3,2,4.0
19,Seccion B,A_veces,13.2,12.8,12.0,80.0,13.5,12.5,13.0,3,6.2
20,Seccion C,Nunca,5.0,3.0,4.0,42.0,7.2,5.0,6.1,1,1.8
21,Seccion A,Casi_siempre,15.8,17.2,16.0,94.0,16.5,15.0,15.8,4,8.4
22,Seccion B,Rara_vez,9.0,7.8,9.5,66.0,10.3,9.0,9.6,2,4.4
23,Seccion C,A_veces,12.0,11.0,12.5,78.0,12.7,11.5,12.1,3,5.6
24,Seccion A,Nunca,5.5,3.5,4.8,46.0,7.8,5.5,6.6,1,2.1
25,Seccion B,Casi_siempre,17.0,18.5,16.5,97.0,17.8,17.0,17.4,4,9.0
26,Seccion C,A_veces,11.5,10.5,11.2,75.0,12.3,11.5,11.9,3,5.4
27,Seccion A,Casi_siempre,16.5,15.5,15.0,91.0,16.7,15.5,16.1,4,8.1
28,Seccion B,Rara_vez,8.2,7.2,8.5,63.0,10.0,8.2,9.1,2,3.9
29,Seccion C,A_veces,13.8,12.2,13.0,84.0,14.2,13.8,14.0,3,6.8
30,Seccion A,Nunca,6.0,4.2,4.5,50.0,7.6,6.0,6.8,1,2.3
31,Seccion B,Casi_siempre,15.5,16.0,15.2,92.0,16.0,15.2,15.6,4,8.3
32,Seccion C,Rara_vez,8.8,7.0,8.0,60.0,10.2,8.8,9.5,2,4.0
33,Seccion A,A_veces,12.8,11.8,11.5,79.0,13.1,12.8,12.9,3,6.0
34,Seccion B,Nunca,6.5,4.0,5.0,55.0,8.0,6.5,7.2,1,2.4
35,Seccion C,Casi_siempre,17.2,16.5,16.0,96.0,17.5,16.0,16.8,4,8.6
36,Seccion A,A_veces,11.0,10.0,11.5,73.0,11.9,11.0,11.4,3,5.2
37,Seccion B,Casi_siempre,16.0,14.8,14.0,87.0,15.8,15.0,15.4,4,7.8
38,Seccion C,Rara_vez,7.5,6.0,7.0,56.0,9.2,7.5,8.3,2,3.5
39,Seccion A,A_veces,13.0,12.5,12.0,81.0,13.3,13.0,13.1,3,6.4
40,Seccion B,Nunca,5.8,3.5,4.0,47.0,7.5,5.8,6.6,1,2.0
41,Seccion C,Casi_siempre,18.5,19.5,18.0,99.0,18.5,18.5,18.5,4,9.5
42,Seccion A,Rara_vez,9.5,8.0,9.0,65.0,10.4,9.5,9.9,2,4.5
43,Seccion B,A_veces,12.2,11.0,12.0,77.0,12.5,12.2,12.3,3,5.9
44,Seccion C,Nunca,5.2,3.0,4.2,43.0,7.3,5.2,6.2,1,1.9
45,Seccion A,Casi_siempre,15.0,16.5,15.5,93.0,16.3,15.0,15.6,4,8.2
46,Seccion B,A_veces,13.5,12.0,13.0,82.0,14.0,13.5,13.7,3,6.5
47,Seccion C,Casi_siempre,16.2,15.0,14.5,89.0,16.2,15.5,15.8,4,7.9
48,Seccion A,Rara_vez,8.0,6.5,7.5,58.0,9.6,8.0,8.8,2,3.8
49,Seccion B,Nunca,6.0,4.5,5.0,51.0,7.8,6.0,6.9,1,2.2
50,Seccion C,A_veces,11.8,10.8,11.0,74.0,12.1,11.8,11.9,3,5.5
51,Seccion A,Casi_siempre,17.8,18.0,17.0,97.0,18.0,17.8,17.9,4,9.1
52,Seccion B,Rara_vez,8.5,7.0,8.5,62.0,10.0,8.5,9.2,2,4.0
53,Seccion C,A_veces,12.5,11.5,12.0,76.0,12.7,12.5,12.6,3,5.8
54,Seccion A,Nunca,5.0,3.0,4.0,44.0,7.2,5.0,6.1,1,1.8
55,Seccion B,Casi_siempre,15.5,14.0,14.5,90.0,16.0,15.5,15.7,4,8.0
56,Seccion C,A_veces,13.0,12.0,12.5,80.0,13.3,13.0,13.1,3,6.2
57,Seccion A,Casi_siempre,16.8,17.5,16.0,94.0,16.8,16.0,16.4,4,8.5
58,Seccion B,Rara_vez,9.0,7.5,9.0,65.0,10.3,9.0,9.6,2,4.2
59,Seccion C,Nunca,5.8,3.5,4.5,48.0,7.6,5.8,6.7,1,2.1
60,Seccion A,A_veces,11.5,10.5,11.0,75.0,12.1,11.5,11.8,3,5.4
61,Seccion B,Casi_siempre,17.0,16.0,15.0,92.0,16.8,16.0,16.4,4,8.2
62,Seccion C,Rara_vez,8.2,7.0,8.0,60.0,9.8,8.2,9.0,2,3.9
63,Seccion A,A_veces,12.0,11.0,12.5,78.0,12.6,12.0,12.3,3,5.6
64,Seccion B,Nunca,6.2,4.0,4.8,52.0,7.9,6.2,7.0,1,2.3
65,Seccion C,Casi_siempre,16.5,15.5,16.0,95.0,16.9,16.5,16.7,4,8.4
66,Seccion A,Rara_vez,9.8,8.0,8.5,66.0,10.4,9.8,10.1,2,4.4
67,Seccion B,A_veces,13.2,12.0,12.0,79.0,13.3,13.2,13.2,3,6.1
68,Seccion C,Nunca,5.5,3.0,4.0,45.0,7.4,5.5,6.4,1,2.0
69,Seccion A,Casi_siempre,14.8,16.0,15.0,91.0,15.9,14.8,15.3,4,8.1
70,Seccion B,A_veces,12.8,11.5,12.0,81.0,13.1,12.8,12.9,3,6.0
71,Seccion C,Casi_siempre,17.2,16.5,17.0,96.0,17.5,17.2,17.3,4,8.8
72,Seccion A,Rara_vez,8.5,7.0,7.5,59.0,9.8,8.5,9.1,2,4.0
73,Seccion B,Nunca,5.0,3.5,4.5,46.0,7.3,5.0,6.1,1,1.9
74,Seccion C,A_veces,11.0,10.0,11.5,73.0,11.8,11.0,11.4,3,5.2
75,Seccion A,Casi_siempre,18.0,18.5,17.5,98.0,18.2,18.0,18.1,4,9.2
76,Seccion B,Rara_vez,9.0,7.0,8.0,63.0,10.1,9.0,9.5,2,4.1
77,Seccion C,A_veces,12.5,11.0,12.0,77.0,12.7,12.5,12.6,3,5.7
78,Seccion A,Nunca,5.8,3.0,4.2,47.0,7.5,5.8,6.6,1,2.0
79,Seccion B,Casi_siempre,15.0,14.5,14.0,88.0,15.4,15.0,15.2,4,7.8
80,Seccion C,A_veces,13.5,12.5,13.0,82.0,13.9,13.5,13.7,3,6.4
81,Seccion A,Casi_siempre,16.0,17.0,16.5,93.0,16.5,16.0,16.2,4,8.4
82,Seccion B,Rara_vez,8.0,6.5,7.0,60.0,9.6,8.0,8.8,2,3.8
83,Seccion C,Nunca,5.2,3.0,4.0,44.0,7.3,5.2,6.2,1,1.8
84,Seccion A,A_veces,11.8,10.0,11.0,76.0,12.2,11.8,12.0,3,5.5
85,Seccion B,Casi_siempre,17.5,16.5,16.0,95.0,17.4,16.5,16.9,4,8.6
86,Seccion C,Rara_vez,8.5,7.0,8.5,62.0,10.1,8.5,9.3,2,4.0
87,Seccion A,A_veces,12.0,11.5,12.0,79.0,12.7,12.0,12.3,3,5.8
88,Seccion B,Nunca,6.0,4.0,4.5,50.0,7.7,6.0,6.8,1,2.2
89,Seccion C,Casi_siempre,16.2,15.0,15.5,90.0,16.3,16.2,16.2,4,8.0
90,Seccion A,Rara_vez,9.5,8.0,8.5,65.0,10.3,9.5,9.9,2,4.3
91,Seccion B,A_veces,13.0,12.0,12.5,80.0,13.5,13.0,13.2,3,6.2
92,Seccion C,Nunca,5.0,3.5,4.0,43.0,7.2,5.0,6.1,1,1.9
93,Seccion A,Casi_siempre,15.5,16.5,15.0,92.0,16.1,15.5,15.8,4,8.2
94,Seccion B,A_veces,12.5,11.0,12.0,78.0,12.9,12.5,12.7,3,5.9
95,Seccion C,Casi_siempre,17.0,16.0,16.5,96.0,17.2,17.0,17.1,4,8.7
96,Seccion A,Rara_vez,8.0,6.0,7.5,58.0,9.7,8.0,8.8,2,3.7
97,Seccion B,Nunca,5.8,3.5,4.5,48.0,7.6,5.8,6.7,1,2.1
